Afganistán,Kabul
Albania,Tirana
Alemania,Berlín
Andorra,Andorra la Vieja
Angola,Luanda
Antigua y Barbuda,Saint John
Arabia Saudita,Riad
Argelia,Argel
Argentina,Buenos Aires
Armenia,Ereván
Australia,Canberra
Austria,Viena
Azerbaiyán,Bakú
Bahamas,Nasáu
Bangladés,Daca
Barbados,Bridgetown
Baréin,Manama
Bélgica,Bruselas
Belice,Belmopán
Benín,Porto-Novo
Bielorrusia,Minsk
Birmania,Naipyidó
Bolivia,Sucre
Bosnia-Herzegovina,Sarajevo
Botsuana,Gaborone
Brasil,Brasilia
Brunéi,Bandar Seri Begawan
Bulgaria,Sofía
Burkina Faso,Uagadugú
Burundi,Buyumbura
Bután,Thimphu
Cabo Verde,Praia
Camboya,Nom Pen
Camerún,Yaundé
Canadá,Ottawa
Catar,Doha
Chad,Yamena
Chile,Santiago
China,Pekín
Chipre,Nicosia
Colombia,Bogotá
Comoras,Moroni
Congo,Brazzaville
Corea del Norte,Pionyang
Corea del Sur,Seúl
Costa de Marfil,Yamusukro
Costa Rica,San José
Croacia,Zagreb
Cuba,La Habana
Dinamarca,Copenhague
Dominica,Roseau
Ecuador,Quito
Egipto,El Cairo
El Salvador,San Salvador
Emiratos Árabes Unidos,Abu Dabi
Eritrea,Asmara
Eslovaquia,Bratislava
Eslovenia,Liubliana
España,Madrid
Estados Unidos,Washington D. C.
Estonia,Tallin
Esuatini,Mbabane
Etiopía,Adís Abeba
Filipinas,Manila
Finlandia,Helsinki
Fiyi,Suva
Francia,París
Gabón,Libreville
Gambia,Banjul
Georgia,Tiflis
Ghana,Accra
Granada,Saint George
Grecia,Atenas
Guatemala,Guatemala
Guinea,Conakri
Guinea Ecuatorial,Malabo
Guinea-Bisáu,Bisáu
Guyana,Georgetown
Haití,Puerto Príncipe
Honduras,Tegucigalpa
Hungría,Budapest
India,Nueva Delhi
Indonesia,Yakarta
Irak,Bagdad
Irán,Teherán
Irlanda,Dublín
Islandia,Reikiavik
Islas Marshall,Majuro
Islas Salomón,Honiara
Israel,Jerusalén
Italia,Roma
Jamaica,Kingston
Japón,Tokio
Jordania,Amán
Kazajistán,Astaná
Kenia,Nairobi
Kirguistán,Biskek
Kiribati,Tarawa
Kosovo,Pristina
Kuwait,Kuwait City
Laos,Vientián
Lesoto,Maseru
Letonia,Riga
Líbano,Beirut
Liberia,Monrovia
Libia,Trípoli
Liechtenstein,Vaduz
Lituania,Vilna
Luxemburgo,Luxemburgo
Macedonia del Norte,Skopie
Madagascar,Antananarivo
Ma,Kuala Lumpur
Malaui,Lilongüe
Maldivas,Malé
Malí,Bamako
Malta,La Valeta
Marruecos,Rabat
Mauricio,Port Louis
Mauritania,Nuakchot
México,México
Micronesia,Palikir
Moldavia,Chisináu
Mónaco,Mónaco
Mongolia,Ulán Bator
Montenegro,Podgorica
Mozambique,Maputo
Namibia,Windhoek
Nauru,Yaren
Nepal,Katmandú
Nicaragua,Managua
Níger,Niamey
Nigeria,Abuya
Noruega,Oslo
Nueva Zelanda,Wellington
Omán,Mascate
Países Bajos,Ámsterdam
Pakistán,Islamabad
Palaos,Melekeok
Palestina,Jerusalén Este
Panamá,Panamá
Papúa Nueva Guinea,Puerto Moresby
Paraguay,Asunción
Perú,Lima
Polonia,Varsovia
Portugal,Lisboa
Reino Unido,Londres
República Centroafricana,Bangui
República Checa,Praga
República Democrática del Congo,Kinsasa
República Dominicana,Santo Domingo
Ruanda,Kigali
Rumania,Bucarest
Rusia,Moscú
Samoa,Apia
San Cristóbal y Nieves,Basseterre
San Marino,San Marino
San Vicente y las Granadinas,Kingstown
Santa Lucía,Castries
Santo Tomé y Príncipe,Santo Tomé
Senegal,Dakar
Serbia,Belgrado
Seychelles,Victoria
Sierra Leona,Freetown
Singapur,Singapur
Siria,Damasco
Somalia,Mogadiscio
Sri Lanka,Sri Jayawardenapura Kotte
Sudáfrica,Pretoria
Sudán,Jartum
Sudán del Sur,Yuba
Suecia,Estocolmo
Suiza,Berna
Surinam,Paramaribo
Tailandia,Bangkok
Taiwán,Taipéi
Tanzania,Dodoma
Tayikistán,Dusambé
Timor Oriental,Dili
Togo,Lomé
Tonga,Nukualofa
Trinidad y Tobago,Puerto España
Túnez,Túnez
Turkmenistán,Asjabad
Turquía,Ankara
Tuvalu,Funafuti
Ucrania,Kiev
Uganda,Kampala
Uruguay,Montevideo
Uzbekistán,Taskent
Vanuatu,Port Vila
Vaticano,Vaticano
Venezuela,Caracas
Vietnam,Hanói
Yemen,Saná
Yibuti,Yibuti
Zambia,Lusaka
Zimbabue,Harare
